Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio
1221,8436567351996,226ERS,226ERS SPORTS THINGS SL,226ERS Calcetines Tecnicos Black Talla de ropa S,Deportes,0,False,Activo,1,0,71.325
1222,8436567355208,226ERS,226ERS SPORTS THINGS SL,226ers Gorro Natación Blanco,Deportes,0,False,Activo,2,0,90.35
1225,8414606333196,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Plus Gel Limón con 25 mg de Cafeina Big - 1 gel x 40 gr Sabor Limón,Energía,0,False,Activo,1,0,62.62666666666666
1229,8436567354706,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Sport Gummies Pectina Electrolyte 1 Bolsa X 5 Unid Sabor Lima,Hidratos de carbono,0,False,Activo,2,0,31.425000000000004
1232,8594159533639,Amix,AMIX LEVANTE S.L.,Amix Creatina Monohidrato 300 Gr  100% Micronizada Mejora Potencia Muscular,Creatina,128,False,Activo,1,0,49.833333333333336
1233,8594159531109,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate",Proteínas,17,False,Activo,1,0,66.19
1234,8594159533141,Amix,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Chocolate,Proteínas,22,False,Activo,1,0,20.785
1235,8594159531147,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Fresa",Proteínas,15,False,Activo,1,0,51.02
1238,8594159533332,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate Blanco",Proteínas,13,False,Activo,3,0,53.755
1240,8594159534513,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Cookies-Cream",Proteínas,11,False,Activo,1,0,56.120000000000005
1243,8594159533790,Amix,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Fresa",Proteínas,12,False,Activo,1,0,65.175
1245,8594159534575,Amix,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Cookies-Cream,Proteínas,14,False,Activo,1,0,51.623333333333335
1248,8594159533806,Amix,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Vainilla",Proteínas,11,False,Activo,1,0,43.0925
1250,8594159531611,Amix,AMIX LEVANTE S.L.,AMIX Creatina Monohidrato Kre-Alkalyn 150 Cápsulas - Ideal para Deportistas - Proteínas para Aumentar Masa Muscular,Creatina,21,False,Activo,1,0,67.675
1251,8594159534414,Amix,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Cookies-Cream",Proteínas,9,False,Activo,3,0,72.81
1252,8594159533158,Amix,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor Chocolate",Proteínas,6,False,Activo,3,0,32.88666666666666
1253,8594159533516,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Cacahuete-Choco-Caramelo",Proteínas,7,False,Activo,1,0,52.626
1254,8594159534728,Amix,AMIX LEVANTE S.L.,"Amix Tribu-ZMA 90 Tabletas  , Estimula la Testosterona , Aumenta la Masa Muscular ,  Complemento Alimenticio.",Masa muscular,17,False,Activo,2,0,80.13
1256,8594159531123,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Vainilla",Proteínas,6,False,Activo,3,0,27.65
1258,8594046796314,Amix,AMIX LEVANTE S.L.,Amix Bcaa Gold 100 Tabs,Aminoacidos,135,False,Activo,2,0,53.48
1262,8594159538801,Amix,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Doble Chocolate Blanco",Proteínas,6,False,Activo,3,0,79.08
1265,8594159532946,Amix,AMIX LEVANTE S.L.,Amix Whey Pure Fusion 1 Kg - ProteAna Isolada - Perfecta Para Una RA!pida Recuperación Sabor Chocolate,Proteínas,11,False,Activo,3,0,72.57
1266,8594159538856,Amix,AMIX LEVANTE S.L.,Amix Whey Pure Fusion 1 Kg - ProteAna Isolada - Perfecta Para Una RA!pida Recuperación Sabor Moca-Choco-CafA(c),Proteínas,11,False,Activo,3,0,71.3
1268,8594159533110,Amix,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Vainilla,Proteínas,6,False,Activo,1,0,66.03
1270,8594159532892,Amix,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Fresa",Proteínas,5,False,Activo,3,0,38.83
1272,8594159538924,Amix,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Cacahuete-Choco-Caramelo",Proteínas,5,False,Activo,3,0,34.59
1274,8594159533912,Amix,AMIX LEVANTE S.L.,AMIX GH 120 Cápsulas - Suplemento Deportivo - Contiene L- Arginina - Potencia El Desarrollo De Masa Muscular,Masa muscular,13,False,Activo,1,0,57.932500000000005
1276,8594159535800,Amix,AMIX LEVANTE S.L.,"Amix Carniline ALC 120 caps - Contribuye a la PA(c)rdida de Masa Grasa Corporal Contiene éetil-L-Carnitina, Taurina y Vitamina B6",L-Carnitina,10,False,Activo,2,0,28.21
1277,8594060004150,Amix,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 530 gr - Retrasa la Fatiga y éelera la Recuperación de Entrenamientos Intensos Sabor Naranja,Aminoacidos,9,False,Activo,2,0,84.68
1282,8594060006314,Amix,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 300 gramos AminoA!cidos - Retrasa la Fatiga y éelera la Recuperación Sabor Cola,Aminoacidos,11,False,Activo,1,0,38.774
1289,8594159531116,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 1 Kg - Contiene Enzimas Digestivas, Proteínas para Aumentar Masa Muscular Sabor Vainilla",Proteínas,4,False,Activo,1,0,62.72
1291,8594159531826,Amix,AMIX LEVANTE S.L.,Amix HMB 120 Cápsulas - Recuperador Muscular / Incrementa la Fuerza - Perfecto para Deportistas,Masa muscular,7,False,Activo,1,0,37.925
1292,8594060004976,Amix,AMIX LEVANTE S.L.,"Amix Greenday Probio Daily 60 Cápsulas Vegetales - ProbiA3ticos y PrebiA3ticos, Para Reforzar el Sistema InmunolA3gico y la Flora Intestinal",Vitaminas y Minerales,10,False,Activo,2,0,96.73
1296,8594159533608,Amix,AMIX LEVANTE S.L.,Amix McPro Protein Bar 1 barrita x 35 gr Sustitutivos de comida Recuperación Muscular Sabor Cookies-Cream,Barritas,133,False,Activo,1,0,28.375
1300,8594060006291,Amix,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 300 gramos AminoA!cidos - Retrasa la Fatiga y éelera la Recuperación Sabor Naranja,Aminoacidos,8,False,Activo,2,0,62.085
1301,8594159534636,Amix,AMIX LEVANTE S.L.,Amix Diuretic Complex 90 Cápsulas - Evita la retención de lAquidos - Extractos Vegetales y Vitaminas,Definición,6,False,Activo,2,0,41.755
1302,8594159533523,Amix,AMIX LEVANTE S.L.,Amix Omega 3 90 Cápsulas Vitaminas Disminuye Colesterol,Vitaminas y Minerales,6,False,Activo,1,0,65.28333333333333
1305,8594060005577,Amix,AMIX LEVANTE S.L.,Amix Zero Hero 31% Protein Bar Cobertura Parcial 1 barrita x 65 gr Sabor Naranja,Barritas,67,False,Activo,1,0,51.86333333333334
1306,8594159538153,Amix,AMIX LEVANTE S.L.,Amix OatMash - Harina de Avena Mr Poppers 2 kg Hidratos Altos en Proteínas Sabor Cookies - Peanut Butter,Energía,8,False,Activo,1,0,82.67
1307,8594060006369,Amix,AMIX LEVANTE S.L.,Amix Dunky Zero Mr Poppers 1 rosquilla x 70 gr Alto en Proteínas Bajo en AzAocar Sabor Black Cookie - Chocolate Negro,Proteínas,53,False,Activo,3,0,45.6
1311,8594159534582,Amix,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor Cookies-Cream",Proteínas,1,False,Activo,1,0,74.27666666666666
1312,8594159531888,Amix,AMIX LEVANTE S.L.,AMIX Arginina 120 Cápsulas - Contiene AminoA!cidos Esenciales + Contribuye A Reducir El Cansancio Y La Fatiga,Aminoacidos,4,False,Activo,2,0,84.69
1313,8594159531420,Amix,AMIX LEVANTE S.L.,"Amix CarboJet Gain 2,25 kg Proteínas Hidratos de Carbono y WPC, Contribuye al Aumento de Masa Muscular + Contiene Minerales y Enzimas Digestivas Sabor Chocolate",Hidratos de carbono,3,False,Activo,2,0,70.155
