__motivo__,Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto
En catálogo con Product_ID pero sin demanda,1105,8436567351095,226ERS,226ERS SPORTS THINGS SL,226ERS Recovery Drink 1 und x 50 gr Sabor Fresa,Energía,80,False,Activo
En catálogo con Product_ID pero sin demanda,1106,8436567352511,226ERS,226ERS SPORTS THINGS SL,226ERS Neo Bar 45% Protein 1 barrita x 50 gr Sabor Chocolate-Cacahuete,Barritas,79,False,Inactivo
En catálogo con Product_ID pero sin demanda,1108,8436567350470,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC DRINK 1 KG - Bebida isotónica Sin gluten - Vegana - Sin AzAocar / Sugar Free - con Amilopectina, Beta Alanina, Sales Minerales y Vitaminas - Entrenamientos Intensos e Hidratación Sabor Cola",Hidratación,8,False,Inactivo
En catálogo con Product_ID pero sin demanda,1109,8436567355840,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Turrón,Sin Gluten,79,False,Activo
En catálogo con Product_ID pero sin demanda,1110,8436567354782,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar Salty Trail 1 Barrita X 40 Gr Sabor Italian,Barritas,92,False,Inactivo
En catálogo con Product_ID pero sin demanda,1111,8436567356083,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten - Vegano - Con Ciclodextrina, Aromas Naturales y Stevia - Realmente Isotónico Sabor Menta - ArA!ndanos",Hidratación,58,False,Inactivo
En catálogo con Product_ID pero sin demanda,1114,8436567352610,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Fat Burner 90 Cápsulas Quemagrasas,Definición,7,False,Inactivo
En catálogo con Product_ID pero sin demanda,1115,8436567351972,226ERS,226ERS SPORTS THINGS SL,226ERS Calcetines Tecnicos Black Talla de ropa L,Deportes,15,False,Inactivo
En catálogo con Product_ID pero sin demanda,1118,8436567353488,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar Choco Bits 1 barrita x 40 gr Sabor Citric Lemon,Barritas,77,False,Inactivo
En catálogo con Product_ID pero sin demanda,1119,8436567350326,226ERS,226ERS SPORTS THINGS SL,"226ERS ENERGY DRINK 500 GRAMOS  - Bebida EnergA(c)tica Sin Gluten - Vegana - Sin AzAocar / Sugar Free - Con Amilopectina, L-Carnitina, Taurina, Vitaminas y Sales Minerales Sabor Frutos Rojos",Hidratación,8,False,Inactivo
En catálogo con Product_ID pero sin demanda,1120,8436567350050,226ERS,226ERS SPORTS THINGS SL,226ERS Endurance Fuel Bar Choco Bits 1 barrita x 60 gr Sabor CafA(c)-Cacao,Energía,53,False,Inactivo
En catálogo con Product_ID pero sin demanda,1121,8436567352115,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein 700 gr Sabor Frutos Rojos,Vegano,4,False,Inactivo
En catálogo con Product_ID pero sin demanda,1122,8436567353020,226ERS,226ERS SPORTS THINGS SL,226ERS HydraZero Bebida de Sales Minerales 225 gr Sabor Limón,Hidratación,4,False,Activo
En catálogo con Product_ID pero sin demanda,1123,8436567350531,226ERS,226ERS SPORTS THINGS SL,226ERS Night Recovery Cream - Recuperador Muscular Nocturno 500 gr Sabor Vainilla,Recuperación,3,False,Inactivo
En catálogo con Product_ID pero sin demanda,1124,8436567352283,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar BCAAs 1 barrita x 40 gr - Barritas EnergA(c)ticas Veganas con BCAA's y Leucina Sabor Banana-Jengibre,Energía,54,False,Activo
En catálogo con Product_ID pero sin demanda,1126,8436567350548,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Yogurt-Limón,Recuperación,4,False,Inactivo
En catálogo con Product_ID pero sin demanda,1127,8436567354799,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar Salty Trail 1 Barrita X 40 Gr Sabor Almendra,Barritas,47,False,Activo
En catálogo con Product_ID pero sin demanda,1128,8436567353105,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask Hydrazero - Multicolor Talla de accesorios fitness L,Deportes,5,False,Inactivo
En catálogo con Product_ID pero sin demanda,1130,8436567350333,226ERS,226ERS SPORTS THINGS SL,"226ERS ENERGY DRINK 500 GRAMOS  - Bebida EnergA(c)tica Sin Gluten - Vegana - Sin AzAocar / Sugar Free - Con Amilopectina, L-Carnitina, Taurina, Vitaminas y Sales Minerales Sabor Mandarina",Hidratación,4,False,Inactivo
En catálogo con Product_ID pero sin demanda,1132,8436567351071,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Plus Gel BIO Limon con 25 mg de Cafeina en Stick - 1 gel x 25 gr Sabor Limón,Sin Lactosa,29,False,Activo
En catálogo con Product_ID pero sin demanda,1133,8436567355291,226ERS,226ERS SPORTS THINGS SL,226ers Vegan Recovery Drink 500 Gr Sabor Vainilla,Recuperación,2,False,Activo
En catálogo con Product_ID pero sin demanda,1134,8436567350142,226ERS,226ERS SPORTS THINGS SL,226ERS Recovery Drink 1 und x 50 gr Sabor Vainilla,Energía,18,False,Inactivo
En catálogo con Product_ID pero sin demanda,1135,8436567356229,226ERS,226ERS SPORTS THINGS SL,226ERS Keto Bar 1 Barrita x 45 Gr - Low Carb / Sin Gluten Sabor Cacahuete,Dieta Keto,13,False,Inactivo
En catálogo con Product_ID pero sin demanda,1137,8436567350432,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC DRINK 500 GR - Bebida Isotónica Sin Gluten - Vegana - Sin AzAocar / Low Sugar - Con Amilopectina, Sales Minerales y Vitaminas Sabor Cola",Recuperación,1,False,Activo
