item_id,Proveedor,Nombre,Categoria,stock_actual,supplier_name,item_name,category,ROP,flag_rotura,flag_bajo
1201,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Edicion Movistar Face Mask Azul Ear Talla de ropa M,Deportes,0,,,,0.0,True,False
1204,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Hydrazero Blanco Ear Talla de ropa L,Deportes,0,,,,0.0,True,False
1206,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Knolling Negro Ear Talla de ropa M,Deportes,0,,,,0.0,True,False
1207,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Movistar Talla de ropa L,Deportes,0,,,,0.0,True,False
1210,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Race Ear Talla de ropa L,Deportes,0,,,,0.0,True,False
1215,226ERS SPORTS THINGS SL,226ERS Crema de Almendra Tostada 100% 320 gr,Fit Food,0,,,,0.0,True,False
1221,226ERS SPORTS THINGS SL,226ERS Calcetines Tecnicos Black Talla de ropa S,Deportes,0,,,,0.0,True,False
1222,226ERS SPORTS THINGS SL,226ers Gorro Natación Blanco,Deportes,0,,,,0.0,True,False
1225,226ERS SPORTS THINGS SL,226ERS Energy Plus Gel Limón con 25 mg de Cafeina Big - 1 gel x 40 gr Sabor Limón,Energía,0,,,,0.0,True,False
1229,226ERS SPORTS THINGS SL,226ERS Vegan Sport Gummies Pectina Electrolyte 1 Bolsa X 5 Unid Sabor Lima,Hidratos de carbono,0,,,,0.0,True,False
1232,AMIX LEVANTE S.L.,Amix Creatina Monohidrato 300 Gr  100% Micronizada Mejora Potencia Muscular,Creatina,128,,,,0.0,False,False
1233,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate",Proteínas,17,,,,0.0,False,False
1234,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Chocolate,Proteínas,22,,,,0.0,False,False
1235,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Fresa",Proteínas,15,,,,0.0,False,False
1238,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate Blanco",Proteínas,13,,,,0.0,False,False
1240,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Cookies-Cream",Proteínas,11,,,,0.0,False,False
1243,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Fresa",Proteínas,12,,,,0.0,False,False
1245,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Cookies-Cream,Proteínas,14,,,,0.0,False,False
1248,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Vainilla",Proteínas,11,,,,0.0,False,False
1250,AMIX LEVANTE S.L.,AMIX Creatina Monohidrato Kre-Alkalyn 150 Cápsulas - Ideal para Deportistas - Proteínas para Aumentar Masa Muscular,Creatina,21,,,,0.0,False,False
1251,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Cookies-Cream",Proteínas,9,,,,0.0,False,False
1252,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor Chocolate",Proteínas,6,,,,0.0,False,False
1253,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Cacahuete-Choco-Caramelo",Proteínas,7,,,,0.0,False,False
1254,AMIX LEVANTE S.L.,"Amix Tribu-ZMA 90 Tabletas  , Estimula la Testosterona , Aumenta la Masa Muscular ,  Complemento Alimenticio.",Masa muscular,17,,,,0.0,False,False
1256,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Vainilla",Proteínas,6,,,,0.0,False,False
